day	S_t	I_t	R_t
0	9999	1	0
1	9998	1	0
2	9998	1	0
3	9998	1	0
4	9998	1	0
5	9998	1	0
6	9997	1	0
7	9997	1	0
8	9997	2	0
9	9997	2	0
10	9996	2	0
11	9996	2	0
12	9995	3	1
13	9995	3	1
14	9994	3	1
15	9994	4	1
16	9993	4	2
17	9992	5	2
18	9991	5	2
19	9990	6	3
20	9989	7	3
21	9987	8	3
22	9986	9	4
23	9984	10	5
24	9982	11	5
25	9980	13	6
26	9977	14	7
27	9974	16	8
28	9971	18	9
29	9968	20	11
30	9964	23	12
31	9959	26	14
32	9954	29	15
33	9948	33	18
34	9941	37	20
35	9934	42	23
36	9926	47	26
37	9916	53	29
38	9906	60	33
39	9894	67	37
40	9881	76	42
41	9866	86	47
42	9849	96	53
43	9830	108	60
44	9809	122	68
45	9785	137	77
46	9758	154	86
47	9728	173	97
48	9694	195	110
49	9656	218	124
50	9614	245	139
51	9567	275	157
52	9515	308	176
53	9456	344	198
54	9391	385	223
55	9319	429	251
56	9239	479	281
57	9150	533	315
58	9053	593	353
59	8945	658	396
60	8827	728	443
61	8699	805	495
62	8559	887	552
63	8407	976	616
64	8243	1070	685
65	8067	1170	762
66	7878	1275	845
67	7677	1385	936
68	7464	1499	1035
69	7240	1616	1142
70	7006	1734	1258
71	6764	1853	1382
72	6513	1972	1514
73	6256	2088	1655
74	5995	2200	1804
75	5731	2306	1961
76	5467	2406	2126
77	5204	2497	2298
78	4944	2579	2476
79	4689	2649	2660
80	4440	2709	2850
81	4200	2756	3043
82	3968	2790	3240
83	3747	2813	3439
84	3536	2822	3640
85	3336	2820	3842
86	3148	2807	4043
87	2971	2783	4244
88	2806	2750	4442
89	2652	2708	4639
90	2508	2658	4832
91	2375	2602	5022
92	2251	2539	5208
93	2137	2472	5389
94	2031	2401	5566
95	1934	2327	5737
96	1844	2251	5904
97	1761	2173	6064
98	1684	2095	6220
99	1614	2016	6369
100	1549	1937	6513
101	1489	1858	6652
102	1433	1781	6784
103	1382	1705	6912
104	1335	1630	7033
105	1292	1557	7150
106	1251	1486	7261
107	1214	1417	7367
108	1180	1350	7468
109	1148	1286	7565
110	1118	1224	7657
111	1091	1163	7744
112	1066	1106	7827
113	1042	1050	7906
114	1020	997	7981
115	1000	946	8052
116	981	898	8120
117	963	851	8184
118	947	807	8245
119	932	764	8302
120	917	724	8357
121	904	686	8409
122	892	649	8458
123	880	614	8504
124	869	581	8548
125	859	550	8590
126	850	520	8629
127	841	492	8666
128	833	465	8701
129	825	439	8734
130	818	415	8766
131	811	392	8795
132	804	371	8823
133	799	350	8850
134	793	331	8875
135	788	312	8898
136	783	295	8921
137	778	279	8942
138	774	263	8962
139	770	248	8980
140	766	234	8998
141	762	221	9015
142	759	209	9031
143	756	197	9046
144	753	186	9060
145	750	176	9073
146	747	166	9086
147	745	156	9097
148	743	147	9109
149	740	139	9119
150	738	131	9129
151	736	124	9138
152	735	117	9147
153	733	110	9156
154	731	104	9163
155	730	98	9171
156	728	92	9178
157	727	87	9184
158	726	82	9191
159	724	78	9197
160	723	73	9202
161	722	69	9207
162	721	65	9212
163	720	61	9217
164	719	58	9221
165	719	55	9225
166	718	51	9229
167	717	48	9233
168	716	46	9236
169	716	43	9240
170	715	41	9243
171	715	38	9246
172	714	36	9248
173	713	34	9251
174	713	32	9253
175	713	30	9256
176	712	29	9258
177	712	27	9260
178	711	25	9262
179	711	24	9264
180	711	23	9265
181	710	21	9267
182	710	20	9268
183	710	19	9270
184	709	18	9271
185	709	17	9272
186	709	16	9274
187	709	15	9275
188	709	14	9276
189	708	13	9277
190	708	13	9278
191	708	12	9279
192	708	11	9280
193	708	10	9280
194	707	10	9281
195	707	9	9282
196	707	9	9282
197	707	8	9283
198	707	8	9284
199	707	7	9284
200	707	7	9285
201	707	7	9285
202	707	6	9286
203	706	6	9286
204	706	5	9287
205	706	5	9287
206	706	5	9287
207	706	5	9288
208	706	4	9288
209	706	4	9288
210	706	4	9289
211	706	4	9289
212	706	3	9289
213	706	3	9289
214	706	3	9290
215	706	3	9290
216	706	3	9290
217	706	3	9290
218	706	2	9290
219	706	2	9291
220	706	2	9291
221	706	2	9291
222	706	2	9291
223	705	2	9291
224	705	2	9291
225	705	2	9291
226	705	1	9292
227	705	1	9292
228	705	1	9292
229	705	1	9292
230	705	1	9292
231	705	1	9292
232	705	1	9292
233	705	1	9292
234	705	1	9292
235	705	1	9292
236	705	1	9292
237	705	1	9292
238	705	1	9293
239	705	1	9293
240	705	1	9293
241	705	1	9293
242	705	1	9293
243	705	0	9293
244	705	0	9293
245	705	0	9293
246	705	0	9293
247	705	0	9293
248	705	0	9293
249	705	0	9293
250	705	0	9293
251	705	0	9293
252	705	0	9293
253	705	0	9293
254	705	0	9293
255	705	0	9293
256	705	0	9293
257	705	0	9293
258	705	0	9293
259	705	0	9293
260	705	0	9293
261	705	0	9293
262	705	0	9293
263	705	0	9293
264	705	0	9293
265	705	0	9293
266	705	0	9293
267	705	0	9293
268	705	0	9293
269	705	0	9293
270	705	0	9293
271	705	0	9293
272	705	0	9293
273	705	0	9293
274	705	0	9293
275	705	0	9293
276	705	0	9293
277	705	0	9293
278	705	0	9293
279	705	0	9293
280	705	0	9293
281	705	0	9293
282	705	0	9293
283	705	0	9293
284	705	0	9293
285	705	0	9293
286	705	0	9293
287	705	0	9293
288	705	0	9293
289	705	0	9293
290	705	0	9293
291	705	0	9293
292	705	0	9293
293	705	0	9293
294	705	0	9293
295	705	0	9293
296	705	0	9293
297	705	0	9293
298	705	0	9293
299	705	0	9293
300	705	0	9293
301	705	0	9293
302	705	0	9293
303	705	0	9293
304	705	0	9293
305	705	0	9293
306	705	0	9293
307	705	0	9293
308	705	0	9293
309	705	0	9293
310	705	0	9293
311	705	0	9293
312	705	0	9293
313	705	0	9293
314	705	0	9293
315	705	0	9293
316	705	0	9293
317	705	0	9293
318	705	0	9293
319	705	0	9293
320	705	0	9293
321	705	0	9293
322	705	0	9293
323	705	0	9293
324	705	0	9293
325	705	0	9293
326	705	0	9293
327	705	0	9293
328	705	0	9293
329	705	0	9293
330	705	0	9293
331	705	0	9293
332	705	0	9293
333	705	0	9293
334	705	0	9293
335	705	0	9293
336	705	0	9293
337	705	0	9293
338	705	0	9293
339	705	0	9293
340	705	0	9293
341	705	0	9293
342	705	0	9293
343	705	0	9293
344	705	0	9293
345	705	0	9293
346	705	0	9293
347	705	0	9293
348	705	0	9293
349	705	0	9293
350	705	0	9293
351	705	0	9293
352	705	0	9293
353	705	0	9293
354	705	0	9293
355	705	0	9293
356	705	0	9293
357	705	0	9293
358	705	0	9293
359	705	0	9293
360	705	0	9293
361	705	0	9293
362	705	0	9293
363	705	0	9293
364	705	0	9293
365	705	0	9293
