# peoples	Theoretical	Simulations	ciLow	ciHigh	RelErr	ciLowPeople	meanPeople	ciHighPeople	peopleRelErr
1	0.0013689251796440427	0.0	0.0	0.0	0	0.0	0.0	0.0	0
2	0.005464467239402859	0.004	8.317430868156912e-05	0.007916825691318432	0	8.317430868156912e-05	0.004	0.007916825691318432	0
3	0.012253079239301079	0.008	0.0024719061238052823	0.013528093876194719	0	0.003623580121698196	0.013	0.0223764198783018	0
4	0.021679358337463372	0.019	0.01052800122970124	0.02747199877029876	0	0.024693995629291105	0.046	0.0673060043707089	0
5	0.03366679868119837	0.03	0.019414263620634333	0.04058573637936566	0	0.05613041841705403	0.09	0.12386958158294596	0
6	0.04811882531956668	0.048	0.03473480395452939	0.061265196045470614	0	0.12456478799748649	0.176	0.2274352120025135	0
7	0.06492008959462314	0.066	0.05059293248156618	0.08140706751843382	0	0.21139801392732205	0.281	0.350601986072678	0
8	0.0839380017108915	0.085	0.06769408406399034	0.10230591593600967	0	0.31613008532084264	0.405	0.4938699146791574	0
9	0.10502447201048959	0.092	0.07406458550614668	0.10993541449385331	0	0.401179911108968	0.507	0.612820088891032	0
10	0.12801782898845826	0.114	0.09427832187275993	0.13372167812724006	0	0.572649358333378	0.704	0.8353506416666219	0
11	0.15274487934325298	0.138	0.11659733982180076	0.15940266017819926	0	0.7826402799365731	0.94	1.0973597200634266	0
12	0.17902307342338153	0.16	0.13725037646563787	0.18274962353436214	0	0.9901097945163764	1.169	1.3478902054836237	0
13	0.2066627383323455	0.18	0.15615936829930246	0.20384063170069752	0	1.224570870992197	1.43	1.635429129007803	0
14	0.23546934069671654	0.211	0.1856805475727719	0.2363194524272281	0	1.6311597565731049	1.874	2.1168402434268954	0
15	0.26524574166988535	0.237	0.21061172375225345	0.2633882762477465	0	1.9325591253416496	2.199	2.4654408746583503	0
16	0.2957944080985949	0.262	0.23471314981435787	0.28928685018564215	0	2.299402075292142	2.596	2.892597924707858	0
17	0.32691954586268324	0.318	0.289101165543039	0.346898834456961	0	3.0462728181473464	3.382	3.717727181852654	0
18	0.3584291241348333	0.332	0.30277652528154386	0.3612234747184562	0	3.285361950599028	3.64	3.9946380494009723	0
19	0.3901367626061115	0.364	0.3341424732861153	0.3938575267138847	0	3.887070932243283	4.276	4.664929067756717	0
20	0.42186345748271603	0.389	0.35874689284168315	0.4192531071583169	0	4.355319189484255	4.768	5.180680810515745	0
21	0.4534391261696178	0.419	0.38838250486028153	0.44961749513971844	0	4.961762859909612	5.403	5.844237140090387	0
22	0.48470395490313967	0.47	0.43902855675123026	0.5009714432487697	0	6.038437031557584	6.522	7.005562968442416	0
23	0.5155095380615168	0.493	0.46197569800778193	0.5240243019922181	0	6.486210824278876	6.983	7.479789175721123	0
24	0.5457198023571386	0.527	0.4960179280715849	0.5579820719284152	0	7.193783572185064	7.716	8.238216427814937	0
25	0.5752117134891762	0.566	0.5352441552323315	0.5967558447676684	0	8.02768165199438	8.572	9.116318348005619	0
26	0.6038757670118253	0.584	0.5534136489501331	0.6145863510498668	0	8.364457305546798	8.919	9.473542694453203	0
27	0.6316162690635074	0.617	0.5868340818106458	0.6471659181893542	0	9.299455087109047	9.881	10.462544912890953	0
28	0.6583514161309773	0.65	0.6204018013674149	0.6795981986325852	0	10.141844671030318	10.737	11.332155328969682	0
29	0.6840131861284773	0.669	0.6397987370066148	0.6982012629933853	0	10.674072925081981	11.279	11.883927074918018	0
30	0.7085470557100684	0.703	0.6746449467598927	0.7313550532401072	0	11.627373560675007	12.245	12.862626439324991	0
31	0.7319115608726491	0.726	0.6983230536651562	0.7536769463348437	0	12.29016334414073	12.918	13.545836655859269	0
32	0.7540777195328239	0.74	0.712780689877588	0.767219310122412	0	12.773690862766584	13.413	14.052309137233417	0
33	0.7750283358721004	0.763	0.7366117237522535	0.7893882762477465	0	13.607385253522965	14.262	14.916614746477036	0
34	0.7947572068549014	0.794	0.7689031947087827	0.8190968052912174	0	14.507581933461362	15.169	15.83041806653864	0
35	0.8132682514576343	0.811	0.7867050556229992	0.8352949443770009	0	15.131984673104906	15.798	16.464015326895094	0
36	0.8305745828401441	0.827	0.8035279843407807	0.8504720156592193	0	15.655069387794581	16.326	16.996930612205418	0
37	0.8466975429874106	0.839	0.8161929823673052	0.8618070176326947	0	16.103929520486254	16.781	17.458070479513744	0
38	0.8616657183000587	0.86	0.8384678288411495	0.8815321711588505	0	16.93189797753555	17.616	18.30010202246445	0
39	0.8755139532724399	0.862	0.8405973398218007	0.8834026601781992	0	16.924529297951537	17.608	18.291470702048464	0
40	0.8882823778245881	0.876	0.8555479203426327	0.8964520796573673	0	17.45092916772445	18.14	18.82907083227555	0
41	0.900015462107828	0.892	0.8727394411193395	0.9112605588806605	0	18.154551335678583	18.85	19.54544866432142	0
42	0.9107611107407521	0.906	0.8878906607123634	0.9241093392876366	0	18.617834817721945	19.318	20.018165182278057	0
43	0.9205698065076228	0.92	0.9031649857991704	0.9368350142008297	0	19.158102679160482	19.865	20.571897320839515	0
44	0.929493811616055	0.934	0.9185929324815663	0.9494070675184338	0	19.678485396149394	20.387	21.095514603850607	0
45	0.9375864327111807	0.941	0.926378383213344	0.9556216167866559	0	19.918590763004186	20.629	21.339409236995817	0
46	0.9449013540197461	0.946	0.9319745427749716	0.9600254572250283	0	20.130010576739792	20.844	21.55798942326021	0
47	0.9514920412838161	0.952	0.9387348039545294	0.9652651960454706	0	20.41226539853913	21.128	21.84373460146087	0
48	0.9574112175674337	0.962	0.9501353777863513	0.9738646222136487	0	20.864532606025225	21.585	22.305467393974777	0
49	0.9627104106016212	0.966	0.9547538828910962	0.9772461171089037	0	21.05306000371169	21.775	22.496939996288308	0
50	0.967439570087906	0.972	0.961762669409537	0.9822373305904629	0	21.334984517098622	22.062	22.78901548290138	0
51	0.9716467523164392	0.977	0.9676977977075004	0.9863022022924995	0	21.553630996526742	22.284	23.014369003473256	0
52	0.9753778685744153	0.979	0.970102344777229	0.987897655222771	0	21.661143485032724	22.392	23.122856514967275	0
53	0.9786764931215609	0.983	0.9749781266781067	0.9910218733218933	0	21.844429355229877	22.579	23.313570644770124	0
54	0.9815837259852402	0.986	0.9787091686019226	0.9932908313980774	0	22.020917178624934	22.759	23.497082821375066	0
55	0.9841381054679488	0.989	0.9825275445736802	0.9954724554263198	0	22.165483244385555	22.907	23.648516755614445	0
56	0.9863755650514506	0.99	0.9838256367372963	0.9961743632627037	0	22.208237298879215	22.951	23.693762701120786	0
