# peoples	Theoretical	Simulations	ciLow	ciHigh	RelErr
1	0.0013689251796440427	0.0	0.0	0.0	nan
2	0.005464467239402859	0.004	8.317430868156912e-05	0.007916825691318432	0.9792064228296077
3	0.012253079239301079	0.008	0.0024719061238052823	0.013528093876194719	0.6910117345243397
4	0.021679358337463372	0.019	0.01052800122970124	0.02747199877029876	0.4458946721209874
5	0.03366679868119837	0.03	0.019414263620634333	0.04058573637936566	0.35285787931218887
6	0.04811882531956668	0.048	0.03473480395452939	0.061265196045470614	0.27635825094730443
7	0.06492008959462314	0.066	0.05059293248156618	0.08140706751843382	0.23344041694596698
8	0.0839380017108915	0.085	0.06769408406399034	0.10230591593600967	0.20359901101187838
9	0.10502447201048959	0.092	0.07406458550614668	0.10993541449385331	0.19495015754188383
10	0.12801782898845826	0.114	0.09427832187275993	0.13372167812724006	0.17299717655473748
11	0.15274487934325298	0.138	0.11659733982180076	0.15940266017819926	0.15509174042173368
12	0.17902307342338153	0.16	0.13725037646563787	0.18274962353436214	0.14218514708976332
13	0.2066627383323455	0.18	0.15615936829930246	0.20384063170069752	0.13244795389276404
14	0.23546934069671654	0.211	0.1856805475727719	0.2363194524272281	0.11999740486837965
15	0.26524574166988535	0.237	0.21061172375225345	0.2633882762477465	0.11134293775420476
16	0.2957944080985949	0.262	0.23471314981435787	0.28928685018564215	0.10414828315130584
17	0.32691954586268324	0.318	0.289101165543039	0.346898834456961	0.09087683791497181
18	0.3584291241348333	0.332	0.30277652528154386	0.3612234747184562	0.08802251421221736
19	0.3901367626061115	0.364	0.3341424732861153	0.3938575267138847	0.082026172290892
20	0.42186345748271603	0.389	0.35874689284168315	0.4192531071583169	0.07777148369747264
21	0.4534391261696178	0.419	0.38838250486028153	0.44961749513971844	0.07307278076305118
22	0.48470395490313967	0.47	0.43902855675123026	0.5009714432487697	0.06589668776333987
23	0.5155095380615168	0.493	0.46197569800778193	0.5240243019922181	0.06292961864547274
24	0.5457198023571386	0.527	0.4960179280715849	0.5579820719284152	0.058789510300597966
25	0.5752117134891762	0.566	0.5352441552323315	0.5967558447676684	0.05433894835277105
26	0.6038757670118253	0.584	0.5534136489501331	0.6145863510498668	0.052373888784018593
27	0.6316162690635074	0.617	0.5868340818106458	0.6471659181893542	0.048891277454382764
28	0.6583514161309773	0.65	0.6204018013674149	0.6795981986325852	0.04553569020397712
29	0.6840131861284773	0.669	0.6397987370066148	0.6982012629933853	0.04364912256111392
30	0.7085470557100684	0.703	0.6746449467598927	0.7313550532401072	0.040334357382798315
31	0.7319115608726491	0.726	0.6983230536651562	0.7536769463348437	0.03812251561273247
32	0.7540777195328239	0.74	0.712780689877588	0.767219310122412	0.03678285151677292
33	0.7750283358721004	0.763	0.7366117237522535	0.7893882762477465	0.034584896786037385
34	0.7947572068549014	0.794	0.7689031947087827	0.8190968052912174	0.03160806711740218
35	0.8132682514576343	0.811	0.7867050556229992	0.8352949443770009	0.029956774817510336
36	0.8305745828401441	0.827	0.8035279843407807	0.8504720156592193	0.028382122925295416
37	0.8466975429874106	0.839	0.8161929823673052	0.8618070176326947	0.027183572863760153
38	0.8616657183000587	0.86	0.8384678288411495	0.8815321711588505	0.02503740832424485
39	0.8755139532724399	0.862	0.8405973398218007	0.8834026601781992	0.02482907213248173
40	0.8882823778245881	0.876	0.8555479203426327	0.8964520796573673	0.02334712289653794
41	0.900015462107828	0.892	0.8727394411193395	0.9112605588806605	0.021592554798946756
42	0.9107611107407521	0.906	0.8878906607123634	0.9241093392876366	0.019988233209311933
43	0.9205698065076228	0.92	0.9031649857991704	0.9368350142008297	0.018298928479162632
44	0.929493811616055	0.934	0.9185929324815663	0.9494070675184338	0.016495789634297448
45	0.9375864327111807	0.941	0.926378383213344	0.9556216167866559	0.015538381282312348
46	0.9449013540197461	0.946	0.9319745427749716	0.9600254572250283	0.014826064719903064
47	0.9514920412838161	0.952	0.9387348039545294	0.9652651960454706	0.01393402945952796
48	0.9574112175674337	0.962	0.9501353777863513	0.9738646222136487	0.012333287124375002
49	0.9627104106016212	0.966	0.9547538828910962	0.9772461171089037	0.011641943176919009
50	0.967439570087906	0.972	0.961762669409537	0.9822373305904629	0.010532233117760251
51	0.9716467523164392	0.977	0.9676977977075004	0.9863022022924995	0.00952118965455426
52	0.9753778685744153	0.979	0.970102344777229	0.987897655222771	0.009088514017130733
53	0.9786764931215609	0.983	0.9749781266781067	0.9910218733218933	0.008160603582800892
54	0.9815837259852402	0.986	0.9787091686019226	0.9932908313980774	0.007394352330707265
